id,is_fraud,days_since_policy_start,claim_amount,num_prior_claims_12mo,submission_delay_days,incident_time_of_day,provider_claim_frequency,claim_vs_policy_limit_ratio
TRAIN-00076,True,41,92871.2,4,0,3,12,0.913
TRAIN-00077,True,9,81088.15,2,1,5,9,1.005
TRAIN-00078,True,357,90133.03,2,278,1,15,0.858
TRAIN-00079,True,5,57837.71,5,235,5,9,0.895
TRAIN-00080,True,13,59988.05,3,0,0,15,1.009
TRAIN-00081,True,350,52081.69,4,0,4,10,0.87
TRAIN-00082,True,8,29417.04,3,191,2,13,0.815
TRAIN-00083,True,4,48234.73,2,1,3,9,1.091
TRAIN-00084,True,355,30604.82,2,1,1,14,0.91
TRAIN-00085,True,41,72558.74,1,1,5,5,1.072
TRAIN-00086,True,6,62062.19,3,0,4,9,0.886
TRAIN-00087,True,5,30183.64,4,1,3,15,0.945
TRAIN-00088,True,2,59581.54,3,336,4,13,0.964
TRAIN-00089,True,40,57608.32,1,0,0,8,1.176
TRAIN-00090,True,14,63558.9,2,0,3,5,1.179
TRAIN-00091,True,54,69729.38,3,1,2,12,0.986
TRAIN-00092,True,40,94161.64,2,0,2,9,1.146
TRAIN-00093,True,355,75478.99,1,307,1,8,0.941
TRAIN-00094,True,49,45002.39,1,273,0,10,0.829
TRAIN-00095,True,56,33316.77,2,1,3,10,1.008
TRAIN-00096,True,40,52506.82,4,309,3,10,1.192
TRAIN-00097,True,350,70891.37,3,0,5,5,1.08
TRAIN-00098,True,364,73335.02,4,0,3,11,0.869
TRAIN-00099,True,51,81255.68,3,1,2,12,1.173
TRAIN-00100,True,48,87703.23,2,1,2,8,1.015
TRAIN-00101,False,288,52364.76,0,78,13,1,0.696
TRAIN-00102,False,272,17312.54,0,12,19,2,0.286
TRAIN-00103,False,349,57922.07,0,70,11,2,0.609
TRAIN-00104,False,244,36069.91,0,36,16,1,1.225
TRAIN-00105,False,46,49096.26,0,4,11,2,0.559
TRAIN-00106,False,19,74789.3,0,63,11,7,0.77
TRAIN-00107,False,149,65817.37,0,72,9,6,1.313
TRAIN-00108,False,233,74187.91,1,63,10,5,1.234
TRAIN-00109,False,99,60756.63,0,58,14,4,2.332
TRAIN-00110,False,173,59412.19,1,24,11,3,0.815
TRAIN-00111,False,208,62110.74,1,11,18,3,1.598
TRAIN-00112,False,72,36070.33,4,0,14,2,0.617
TRAIN-00113,False,137,71575.59,0,73,6,1,1.377
TRAIN-00114,False,121,5128.26,0,39,11,2,0.082
TRAIN-00115,False,361,57853.16,2,81,15,2,1.392
TRAIN-00116,False,69,36124.55,1,77,17,2,0.546
TRAIN-00117,False,242,56922.61,3,27,13,3,0.817
TRAIN-00118,False,42,39650.25,1,46,8,6,1.187
TRAIN-00119,False,281,67765.17,0,68,10,1,0.761
TRAIN-00120,False,227,9159.88,0,74,21,1,0.145
TRAIN-00121,False,29,34280.71,1,58,7,3,0.454
TRAIN-00122,False,158,54384.37,0,0,12,3,1.915
TRAIN-00123,False,177,52678.67,1,7,8,9,0.872
TRAIN-00124,False,147,30960.59,2,82,19,2,0.337
TRAIN-00125,False,230,65286.71,4,48,8,3,0.875
TRAIN-00126,False,277,10407.74,3,15,11,10,0.191
TRAIN-00127,False,66,54725.43,0,0,6,8,0.916
TRAIN-00128,False,279,32097.54,0,29,13,2,0.876
TRAIN-00129,False,97,70337.07,2,14,7,5,1.246
TRAIN-00130,False,9,18429.64,0,76,7,2,0.244
TRAIN-00131,False,25,18732.69,0,56,13,2,0.23
TRAIN-00132,False,29,10940.1,5,29,16,3,0.132
TRAIN-00133,False,165,18149.35,3,84,22,1,0.382
TRAIN-00134,False,32,41975.5,1,22,19,3,1.472
TRAIN-00135,False,177,70648.19,2,67,16,3,1.27
TRAIN-00136,False,154,28546.28,2,60,13,5,0.6
TRAIN-00137,False,363,11254.21,1,7,23,2,0.2
TRAIN-00138,False,272,10489.91,0,26,16,3,0.111
TRAIN-00139,False,190,7388.57,2,24,7,1,0.098
TRAIN-00140,False,309,3446.29,0,75,23,1,0.085
TRAIN-00141,False,171,23087.51,4,27,12,8,0.683
TRAIN-00142,False,246,68625.88,2,90,12,2,1.598
TRAIN-00143,False,165,58275.78,0,68,17,2,1.121
TRAIN-00144,False,255,35217.3,3,60,16,6,0.667
TRAIN-00145,False,212,3905.8,3,18,6,1,0.041
TRAIN-00146,False,297,54140.89,0,25,16,1,0.799
TRAIN-00147,False,126,37697.96,2,87,16,1,0.435
TRAIN-00148,False,329,55599.76,1,45,11,1,0.843
TRAIN-00149,False,95,68809.0,1,82,7,2,0.783
TRAIN-00150,False,39,70916.51,2,0,19,1,0.981
TRAIN-00151,False,35,53184.13,0,64,20,2,0.746
TRAIN-00152,False,342,70075.83,4,84,21,1,1.079
TRAIN-00153,False,211,1382.9,1,35,23,8,0.053
TRAIN-00154,False,358,50715.45,3,22,9,6,0.788
TRAIN-00155,False,124,14798.94,1,45,14,4,0.479
TRAIN-00156,False,208,34695.33,0,89,13,1,0.398
TRAIN-00157,False,42,49203.31,3,4,8,2,0.923
TRAIN-00158,False,244,4680.56,0,21,8,2,0.081
TRAIN-00159,False,170,42656.32,3,12,22,6,1.01
TRAIN-00160,False,355,66622.8,1,5,8,3,1.447
TRAIN-00161,False,279,42481.48,0,40,6,8,0.615
TRAIN-00162,False,365,61657.23,4,38,11,3,0.913
TRAIN-00163,False,200,50939.1,1,49,10,4,0.664
TRAIN-00164,False,41,37809.07,5,6,9,2,0.43
TRAIN-00165,False,175,45585.07,1,76,18,8,0.921
TRAIN-00166,False,325,20862.86,5,62,13,2,0.218
TRAIN-00167,False,222,14337.47,1,48,8,4,0.304
TRAIN-00168,False,127,53626.59,0,19,18,4,0.739
TRAIN-00169,False,200,24092.53,0,0,15,2,0.293
TRAIN-00170,False,53,10371.77,0,57,23,3,0.187
TRAIN-00171,False,14,7176.6,1,76,16,5,0.277
TRAIN-00172,False,212,29391.07,0,71,13,3,0.779
TRAIN-00173,False,195,13127.88,0,34,21,1,0.35
TRAIN-00174,False,142,31872.12,1,9,17,1,0.733
TRAIN-00175,False,321,37437.28,1,58,9,1,1.468
TRAIN-00176,False,203,25250.18,1,42,20,2,0.293
TRAIN-00177,False,334,73079.79,0,41,12,2,1.907
TRAIN-00178,False,204,72670.03,0,88,21,8,0.869
TRAIN-00179,False,167,28516.12,3,50,17,1,0.424
TRAIN-00180,False,304,74796.24,0,70,6,7,1.255
TRAIN-00181,False,363,16118.81,2,88,8,5,0.19
TRAIN-00182,False,210,50636.84,0,38,13,1,1.385
TRAIN-00183,False,217,59286.22,0,76,21,3,0.911
TRAIN-00184,False,355,31663.4,0,46,23,3,0.338
TRAIN-00185,False,56,57787.08,2,45,11,3,2.04
TRAIN-00186,False,331,50971.66,0,42,19,1,1.573
TRAIN-00187,False,114,38545.38,1,74,13,2,0.709
TRAIN-00188,False,348,44349.95,1,44,6,2,0.94
TRAIN-00189,False,44,9147.17,4,18,17,2,0.155
TRAIN-00190,False,106,39323.05,0,12,20,4,0.667
TRAIN-00191,False,35,22869.67,3,14,6,5,0.311
TRAIN-00192,False,347,60103.73,4,31,22,1,1.624
TRAIN-00193,False,287,32264.52,1,51,11,1,0.434
TRAIN-00194,False,203,2674.82,1,25,20,3,0.049
TRAIN-00195,False,361,16502.31,0,90,8,3,0.194
TRAIN-00196,False,275,14428.51,0,58,9,1,0.161
TRAIN-00197,False,271,72460.77,0,49,18,3,1.418
TRAIN-00198,False,235,46493.52,3,90,15,6,0.671
TRAIN-00199,False,345,10479.11,0,39,9,1,0.136
TRAIN-00200,False,262,29440.51,1,73,18,2,0.479
TRAIN-00201,False,276,52160.75,1,22,23,1,1.118
TRAIN-00202,False,96,23936.21,1,6,17,7,0.39
TRAIN-00203,False,100,61233.59,4,64,21,2,0.99
TRAIN-00204,False,364,63071.94,1,10,6,4,1.518
TRAIN-00205,False,17,20976.54,1,21,20,3,0.253
TRAIN-00206,False,254,41454.6,0,14,14,4,0.478
TRAIN-00207,False,188,40882.23,2,56,23,1,0.719
TRAIN-00208,False,335,56475.24,0,4,20,1,0.63
TRAIN-00209,False,45,33210.71,5,30,12,5,0.481
TRAIN-00210,False,180,64648.13,1,54,11,3,0.771
TRAIN-00211,False,106,60505.32,1,68,14,3,1.608
TRAIN-00212,False,361,22301.28,1,65,9,1,0.274
TRAIN-00213,False,211,68948.27,5,83,10,4,1.973
TRAIN-00214,False,75,53498.92,3,86,18,2,0.783
TRAIN-00215,False,138,47272.06,0,9,8,2,0.582
TRAIN-00216,False,356,70257.04,0,62,16,3,0.779
TRAIN-00217,False,48,54954.43,1,85,17,5,0.649
TRAIN-00218,False,204,16728.33,1,27,21,1,0.192
TRAIN-00219,False,173,41274.63,0,62,16,6,0.502
TRAIN-00220,False,24,7918.32,2,58,6,1,0.089
TRAIN-00221,False,226,34510.6,5,54,12,10,0.37
TRAIN-00222,False,333,22988.98,3,35,8,3,0.525
TRAIN-00223,False,191,50005.91,1,6,18,3,0.629
TRAIN-00224,False,120,32477.71,0,12,6,1,1.053
TRAIN-00225,False,304,17351.22,2,1,6,3,0.201
TRAIN-00226,False,217,52205.31,1,29,18,1,0.611
TRAIN-00227,False,53,23844.69,3,17,18,4,0.293
TRAIN-00228,False,69,48297.42,2,8,22,3,0.682
TRAIN-00229,False,85,33287.41,2,80,10,6,0.467
TRAIN-00230,False,227,64567.21,0,12,10,4,0.933
TRAIN-00231,False,197,26689.41,1,17,13,1,0.852
TRAIN-00232,False,284,45274.43,2,36,6,5,0.609
TRAIN-00233,False,155,15805.71,1,24,18,1,0.543
TRAIN-00234,False,123,37369.14,0,63,8,2,0.38
TRAIN-00235,False,185,70077.37,0,72,19,2,0.919
TRAIN-00236,False,242,71606.75,2,2,8,1,1.739
TRAIN-00237,False,31,71176.66,0,36,22,4,1.254
TRAIN-00238,False,206,6640.87,1,78,10,1,0.138
TRAIN-00239,False,262,69108.9,5,19,23,2,1.002
TRAIN-00240,False,333,51238.65,0,89,19,4,0.579
TRAIN-00241,False,30,18713.74,4,14,20,3,0.642
TRAIN-00242,False,342,55756.17,2,15,6,4,0.718
TRAIN-00243,False,84,37482.76,0,66,14,1,1.086
TRAIN-00244,False,138,55103.72,0,3,16,5,1.214
TRAIN-00245,False,33,20089.75,5,80,8,2,0.317
TRAIN-00246,False,29,37720.95,1,47,11,1,1.153
TRAIN-00247,False,294,50721.97,0,65,6,1,0.565
TRAIN-00248,False,126,3925.62,0,19,11,7,0.044
TRAIN-00249,False,284,60332.1,2,83,19,1,1.383
TRAIN-00250,False,164,20708.72,0,47,9,2,0.224
TRAIN-00251,False,92,17127.29,1,5,18,1,0.286
TRAIN-00252,False,145,58127.8,0,11,23,2,1.104
TRAIN-00253,False,150,42503.6,0,79,13,2,0.613
TRAIN-00254,False,253,74835.14,2,69,13,1,0.788
TRAIN-00255,False,13,17858.33,0,88,6,7,0.711
TRAIN-00256,False,337,28532.47,2,39,9,1,0.289
TRAIN-00257,False,215,37156.15,0,18,14,1,0.395
TRAIN-00258,False,267,31272.73,3,58,8,3,0.497
TRAIN-00259,False,327,61587.24,0,72,7,2,0.633
TRAIN-00260,False,122,22229.86,3,50,16,2,0.49
TRAIN-00261,False,39,70794.82,0,74,9,1,1.897
TRAIN-00262,False,239,23895.48,0,45,12,2,0.4
TRAIN-00263,False,62,7236.36,3,38,7,1,0.081
TRAIN-00264,False,76,7295.36,0,45,18,2,0.096
TRAIN-00265,False,134,61596.68,0,51,20,3,0.93
TRAIN-00266,False,49,34922.22,3,17,9,1,0.4
TRAIN-00267,False,114,10238.29,3,47,8,3,0.231
TRAIN-00268,False,39,2124.11,0,82,20,5,0.067
TRAIN-00269,False,170,9628.31,4,6,11,6,0.167
TRAIN-00270,False,203,37461.42,0,54,11,2,0.402
TRAIN-00271,False,141,21349.16,3,4,13,3,0.342
TRAIN-00272,False,282,36187.8,0,49,10,2,0.494
TRAIN-00273,False,270,19061.51,5,69,6,9,0.228
TRAIN-00274,False,184,36236.49,2,44,22,2,0.8
TRAIN-00275,False,14,24256.38,0,35,7,5,0.402
TRAIN-00276,False,184,57629.74,5,20,9,1,1.338
TRAIN-00277,False,274,61313.24,4,7,13,3,0.621
TRAIN-00278,False,199,26932.95,3,22,11,1,0.551
TRAIN-00279,False,358,27229.34,1,90,17,7,0.405
TRAIN-00280,False,289,71153.45,3,63,23,2,1.152
TRAIN-00281,False,47,4684.51,1,2,22,2,0.094
TRAIN-00282,False,315,15509.1,0,22,16,1,0.43
TRAIN-00283,False,361,68833.2,2,67,17,8,1.298
TRAIN-00284,False,340,29971.87,0,38,16,1,0.814
TRAIN-00285,False,224,59492.27,4,83,16,1,0.609
TRAIN-00286,False,356,66775.22,1,45,13,3,0.776
TRAIN-00287,False,194,23358.33,2,16,11,4,0.243
TRAIN-00288,False,294,29674.31,5,72,7,1,0.607
TRAIN-00289,False,314,16956.7,1,63,10,2,0.55
TRAIN-00290,False,178,73687.28,0,11,16,2,1.641
TRAIN-00291,False,128,52141.62,0,13,6,1,0.901
TRAIN-00292,False,215,72698.09,3,63,18,2,1.368
TRAIN-00293,False,246,59260.38,1,87,13,1,1.941
TRAIN-00294,False,18,22470.69,0,13,8,2,0.245
TRAIN-00295,False,83,55032.89,1,11,16,3,0.775
TRAIN-00296,False,248,52985.6,1,83,11,3,0.92
TRAIN-00297,False,28,8043.71,0,24,19,3,0.102
TRAIN-00298,False,277,20262.23,0,30,9,1,0.298
TRAIN-00299,False,252,11942.45,0,54,8,1,0.16
TRAIN-00300,False,308,36284.47,0,26,11,3,0.369
TRAIN-00301,False,243,63360.8,0,50,21,2,0.85
TRAIN-00302,False,47,48319.05,0,47,18,2,0.827
TRAIN-00303,False,135,33260.66,0,34,7,1,0.431
TRAIN-00304,False,50,6885.19,0,69,19,8,0.099
TRAIN-00305,False,284,5043.29,0,66,19,8,0.066
TRAIN-00306,False,244,43167.21,0,38,8,2,0.485
TRAIN-00307,False,18,37906.56,4,73,10,1,0.463
TRAIN-00308,False,89,71205.08,0,27,12,1,1.255
TRAIN-00309,False,350,32936.8,5,80,10,5,0.743
TRAIN-00310,False,35,6983.54,1,70,16,5,0.109
TRAIN-00311,False,7,59098.02,1,66,19,1,1.631
TRAIN-00312,False,291,44301.09,2,12,9,3,1.36
TRAIN-00313,False,147,65126.91,3,52,14,2,1.06
TRAIN-00314,False,312,35741.97,0,51,10,3,0.47
TRAIN-00315,False,206,3389.3,3,42,13,1,0.056
TRAIN-00316,False,138,67328.84,0,38,15,1,1.088
TRAIN-00317,False,357,51521.48,5,29,10,2,0.638
TRAIN-00318,False,165,20571.79,1,82,8,1,0.504
TRAIN-00319,False,209,55700.39,2,47,7,2,1.509
TRAIN-00320,False,160,53362.92,1,67,6,1,0.589
TRAIN-00321,False,103,62854.76,0,58,7,6,0.807
TRAIN-00322,False,141,27942.22,1,50,9,3,0.648
TRAIN-00323,False,251,44756.25,0,60,23,2,1.201
TRAIN-00324,False,133,56297.6,2,36,6,2,1.513
TRAIN-00325,False,293,58597.35,0,28,13,3,1.297
TRAIN-00326,False,210,38739.45,3,87,6,2,1.109
TRAIN-00327,False,89,45285.08,0,32,15,4,0.579
TRAIN-00328,False,141,32073.61,0,44,20,1,0.535
TRAIN-00329,False,347,39287.52,1,74,9,1,0.393
TRAIN-00330,False,192,42328.56,1,36,15,3,0.692
TRAIN-00331,False,173,74132.89,1,35,14,3,0.769
TRAIN-00332,False,334,22759.94,0,30,7,5,0.267
TRAIN-00333,False,308,30605.33,0,17,6,3,0.307
TRAIN-00334,False,133,68064.91,1,4,12,2,0.867
TRAIN-00335,False,352,40330.32,2,85,17,2,0.456
TRAIN-00336,False,337,65798.86,0,12,21,1,1.482
TRAIN-00337,False,287,57337.41,0,87,16,3,1.376
TRAIN-00338,False,115,55943.64,0,42,17,1,1.189
TRAIN-00339,False,61,35554.97,3,74,8,2,0.898
TRAIN-00340,False,62,65128.58,0,38,19,1,0.731
TRAIN-00341,False,71,74429.92,0,72,20,1,0.83
TRAIN-00342,False,93,58531.12,1,80,11,2,1.994
TRAIN-00343,False,232,20877.83,2,21,11,2,0.254
TRAIN-00344,False,46,10140.74,1,54,18,2,0.167
TRAIN-00345,False,3,3310.54,0,47,6,6,0.04
TRAIN-00346,False,272,14697.96,2,80,13,1,0.162
TRAIN-00347,False,160,10105.34,0,75,15,1,0.116
TRAIN-00348,False,153,71160.52,1,66,22,2,0.777
TRAIN-00349,False,69,26033.6,4,45,12,1,0.28
TRAIN-00350,False,207,1924.79,0,16,12,4,0.028
TRAIN-00351,False,87,9675.57,2,4,18,5,0.219
TRAIN-00352,False,274,46923.54,1,6,9,3,1.772
TRAIN-00353,False,354,9126.34,1,15,23,1,0.118
TRAIN-00354,False,106,52291.81,1,38,19,3,0.7
TRAIN-00355,False,139,46898.43,2,53,9,2,0.658
TRAIN-00356,False,145,8993.94,0,25,12,4,0.103
TRAIN-00357,False,104,27165.18,1,20,7,2,0.291
TRAIN-00358,False,353,70017.76,0,0,6,3,0.753
TRAIN-00359,False,294,50342.13,0,11,22,1,0.635
TRAIN-00360,False,132,48503.09,1,37,14,2,1.493
TRAIN-00361,False,90,65623.46,3,46,16,2,1.948
TRAIN-00362,False,24,1220.59,0,82,11,2,0.013
TRAIN-00363,False,319,20489.05,2,47,16,1,0.372
TRAIN-00364,False,234,20751.57,0,61,19,3,0.245
TRAIN-00365,False,58,10372.11,2,20,9,2,0.15
TRAIN-00366,False,292,51040.29,0,48,17,3,0.569
TRAIN-00367,False,67,36489.43,1,52,20,1,0.818
TRAIN-00368,False,161,1420.84,3,67,13,8,0.019
TRAIN-00369,False,174,39172.93,2,79,9,2,0.493
TRAIN-00370,False,247,26258.34,2,49,10,5,0.393
TRAIN-00371,False,314,4565.18,1,20,22,5,0.051
TRAIN-00372,False,85,6077.46,1,30,16,8,0.211
TRAIN-00373,False,115,41511.92,0,30,8,2,0.488
TRAIN-00374,False,230,7057.48,1,40,9,9,0.087
TRAIN-00375,False,10,8146.93,1,71,23,1,0.256
TRAIN-00376,False,310,72256.26,1,65,23,1,0.959
TRAIN-00377,False,175,27569.01,0,28,20,2,0.334
TRAIN-00378,False,308,35748.46,2,57,9,1,0.48
TRAIN-00379,False,2,25931.11,3,37,23,2,0.334
TRAIN-00380,False,24,67317.35,1,52,9,1,1.696
TRAIN-00381,False,62,69801.11,0,58,12,4,2.11
TRAIN-00382,False,213,3964.28,1,86,9,4,0.067
TRAIN-00383,False,338,44404.05,1,63,6,2,1.55
TRAIN-00384,False,222,62991.8,1,65,11,3,1.657
TRAIN-00385,False,66,8214.77,2,77,16,2,0.153
TRAIN-00386,False,312,68735.31,2,35,18,8,0.703
TRAIN-00387,False,232,60457.36,0,77,22,1,0.779
TRAIN-00388,False,161,53534.64,4,80,12,1,0.745
TRAIN-00389,False,149,51652.54,4,16,11,2,0.67
TRAIN-00390,False,166,53421.28,2,71,21,3,0.558
TRAIN-00391,False,364,31602.11,2,68,15,5,0.558
TRAIN-00392,False,7,39443.38,0,18,7,3,0.986
TRAIN-00393,False,83,73773.16,2,18,7,3,1.565
TRAIN-00394,False,278,2906.83,3,13,23,5,0.036
TRAIN-00395,False,288,29472.06,1,89,15,3,1.033
TRAIN-00396,False,196,29372.82,4,87,16,8,1.012
TRAIN-00397,False,129,15630.0,3,56,13,6,0.201
TRAIN-00398,False,332,27896.71,1,77,12,4,0.287
TRAIN-00399,False,151,33936.71,5,9,11,8,0.424
TRAIN-00400,False,62,28601.27,1,71,14,1,0.416
TRAIN-00401,False,131,920.56,1,19,7,1,0.019
TRAIN-00402,False,27,58137.74,1,84,15,2,0.856
TRAIN-00403,False,184,5929.62,2,67,13,7,0.093
TRAIN-00404,False,259,12373.1,1,51,8,2,0.136
TRAIN-00405,False,340,25225.32,0,27,22,2,0.376
TRAIN-00406,False,333,1155.88,2,57,13,6,0.016
TRAIN-00407,False,319,18665.12,0,41,18,6,0.195
TRAIN-00408,False,198,19616.0,2,3,22,5,0.369
TRAIN-00409,False,261,33693.99,0,83,12,2,1.081
TRAIN-00410,False,50,12970.91,4,68,23,1,0.434
TRAIN-00411,False,344,47398.83,0,87,19,5,1.173
TRAIN-00412,False,360,65958.47,2,55,8,4,1.806
TRAIN-00413,False,236,53906.69,0,9,7,1,1.228
TRAIN-00414,False,37,43334.69,0,33,19,2,0.6
TRAIN-00415,False,222,24072.12,0,15,23,1,0.305
TRAIN-00416,False,33,56819.06,1,89,8,2,0.906
TRAIN-00417,False,149,59123.45,0,11,15,4,1.022
TRAIN-00418,False,203,61748.12,0,20,23,1,0.762
TRAIN-00419,False,280,22475.9,1,38,17,7,0.87
TRAIN-00420,False,285,11032.35,0,73,18,2,0.115
TRAIN-00421,False,157,16148.94,2,44,12,2,0.22
TRAIN-00422,False,263,11112.91,0,78,14,1,0.288
TRAIN-00423,False,291,63992.71,3,70,20,3,2.099
TRAIN-00424,False,344,5518.53,0,74,21,7,0.107
TRAIN-00425,False,344,49332.74,0,79,8,6,1.01
TRAIN-00426,False,231,24961.78,2,88,10,3,0.477
TRAIN-00427,False,162,71920.09,0,40,13,4,0.917
TRAIN-00428,False,329,32991.24,3,17,16,5,0.552
TRAIN-00429,False,184,58220.14,1,13,11,3,1.869
TRAIN-00430,False,144,64474.17,0,68,12,1,0.705
TRAIN-00431,False,40,54693.19,3,64,6,5,0.799
TRAIN-00432,False,303,16350.67,0,33,23,6,0.25
TRAIN-00433,False,335,58252.19,0,28,15,1,0.931
TRAIN-00434,False,47,30060.49,1,84,13,5,0.352
TRAIN-00435,False,315,51470.04,2,17,20,1,0.763
TRAIN-00436,False,290,49626.29,4,61,17,1,0.604
TRAIN-00437,False,119,5183.16,0,5,12,2,0.061
TRAIN-00438,False,199,35490.73,1,5,7,9,0.72
TRAIN-00439,False,361,72648.88,1,35,14,3,1.072
TRAIN-00440,False,193,49198.81,0,83,8,2,0.924
TRAIN-00441,False,115,38969.7,0,44,21,4,0.426
TRAIN-00442,False,4,37886.86,0,21,13,1,0.517
TRAIN-00443,False,109,11692.91,0,77,9,3,0.208
TRAIN-00444,False,170,54159.05,1,61,21,1,1.46
TRAIN-00445,False,211,2172.23,0,73,11,1,0.034
TRAIN-00446,False,294,11441.45,0,23,22,7,0.164
TRAIN-00447,False,289,48002.89,3,84,15,7,1.164
TRAIN-00448,False,311,74461.8,3,21,13,5,1.063
TRAIN-00449,False,299,61623.76,0,84,22,1,0.777
TRAIN-00450,False,176,69215.22,1,8,13,2,1.982
TRAIN-00451,False,9,15574.97,3,64,19,5,0.221
TRAIN-00452,False,91,35952.25,1,4,23,2,1.063
TRAIN-00453,False,247,49624.75,4,69,6,6,0.597
TRAIN-00454,False,333,32646.51,1,5,22,2,0.342
TRAIN-00455,False,247,59321.89,0,75,9,2,1.346
TRAIN-00456,False,120,68301.36,0,76,23,2,1.743
TRAIN-00457,False,364,55901.6,0,66,9,2,1.052
TRAIN-00458,False,106,51738.62,0,46,9,1,0.7
TRAIN-00459,False,130,19967.07,1,72,17,3,0.201
TRAIN-00460,False,204,56745.41,1,71,21,1,0.848
TRAIN-00461,False,248,19406.43,0,44,18,4,0.218
